TypeId,TypeDesc,TransDesc1,MCC,MCC_Description,Extra_Retailer_Field,Extra_Retailer_Field_2,logo,retailer_id,
0,Purchase,ACE Hardw ACE H,5039,Contractors and Heavy Equipment,Ace Hardware,,NULL,70071,
0,Purchase,HLU*HULU 118929,4899,Telecommunication Services,Hulu,,NULL,70075,
0,Purchase,TERRA FIRMA AUT,5521,Auto,Terra Firma Auto,,NULL,70076,
1,Purchase,TROY BANK 231 S,6010,Financial Services,Troy Bank & Trust,,NULL,70078,
0,Purchase,CA STATE CHILD,9399,Legal and Government,Child Support,,NULL,70080,
0,Purchase,CITY NAILS & SP,7230,Personal Care,City Nails and Spa,,NULL,70082,
0,Purchase,HOT SPOT #4005,5541,Fuel,Hot Spot,,NULL,70086,
0,Purchase,GA LOTTERY IHOP,7800,Lottery and Gaming,Georgia Lottery,,NULL,70092,
0,Purchase,PICKLES,5812,Food and Drink,Pickles,,NULL,70093,
0,Purchase,STOYSTOWN AUTO,5533,Auto,Stoystown Auto,,NULL,70095,
0,Purchase,STEPHEN GREGORY,7298,Personal Care,Stephen Gregory,,NULL,70096,
0,Purchase,HAVEN INN,7011,Travel,Haven Inn,,NULL,70097,
0,Purchase,HAZEL GREEN ONE,5411,Grocery and Food Stores,Hazel Green One Store,,NULL,70103,
0,Purchase,HLU*HULU 170473,4899,Telecommunication Services,Hulu,,NULL,70104,
0,Purchase,EZ WINE & LIQUO,5921,Food and Drink,EZ Wine and Liquor,,NULL,70105,
0,Purchase,BERKELEY COUNTY,4900,Utilities,Berkeley County Water,,NULL,70106,
0,Purchase,CROSSROADS ANIM,742,Services,Crossroads Animal Clinic,,NULL,70108,
0,Purchase,FOUNTAINS AUTO,7542,Auto,Fountains Auto Wash,,NULL,70109,
0,Purchase,ALAN B MELTON D,8021,Healthcare,Alan B Melton DMD,,NULL,70110,
0,Purchase,ARTS MUSIC SHOP,5733,Other,Arts Music Shop,,NULL,70112,
0,Purchase,FAIRVIEW STOP N,5541,Fuel,Fairview Stop and Save Market,,NULL,70113,
0,Purchase,HOBBYLOBB 200 R,5945,Other,Hobby Lobby,,NULL,70114,
0,Purchase,JET PEP # 9933,5541,Fuel,Jet Pep,,NULL,70116,
0,Purchase,ST REGIS TRAVEL,5541,Fuel,St Regis Travel,,NULL,70117,
0,Purchase,MAVERIK #523,5541,Fuel,Maverik,,NULL,70119,
0,Purchase,TALECRATE.COM,5818,Subscriptions,Talecrate.com,,NULL,70121,
0,Purchase,MURPHY5529ATWAL,5541,Fuel,Murphy USA,,NULL,70123,
0,Purchase,MAILFORWARDUSPS,4214,Mailing and Shipping,USPS,,NULL,70125,
0,Purchase,THE GATHERING T,5812,Food and Drink,The Gathering Table,,NULL,70127,
0,Purchase,BATTLEVIEW MARK,5499,Grocery and Food Stores,Battleview Market,,NULL,70130,
0,Purchase,CIAO BABY PIZZE,5812,Food and Drink,Ciao Baby Pizzeria,,NULL,70131,
0,Purchase,ASSAF ENTERPRIS,5542,Fuel,ASSAF Enterprises,,NULL,70140,
0,Purchase,VIOC GN0146,7538,Auto,VIOC,,NULL,70141,
0,Purchase,MARISCOS CHIHUA,5812,Food and Drink,Mariscos Chihuahua,,NULL,70148,
0,Purchase,JAKES BAR & GRI,5812,Food and Drink,Jakes Bar and Grill,,NULL,70149,
0,Purchase,RED ROOF INN JO,3650,Travel,Red Roof Inn,,NULL,70150,
0,Purchase,TRATTORIA MIA,5812,Food and Drink,Trattoria Mia,,NULL,70151,
0,Purchase,HOMEWAV,5734,Technology Store,Homewav,,NULL,70152,
1,Purchase,ORBIT EXPRES-44,6011,Financial Services,Orbit Express,,NULL,70156,
0,Purchase,Sams XpressCarW,7542,Auto,Sams Xpress Car Wash,,NULL,70160,
0,Purchase,BOATS.NET,5533,Auto,Boats.net,,NULL,70162,
0,Purchase,THE SHRIMP BASK,5814,Food and Drink,The Shrimp Basket,,NULL,70163,
0,Purchase,PANTRY STORE G,5541,Fuel,Pantry Store,,NULL,70168,
0,Purchase,MCDONALD'S F696,5814,Food and Drink,McDonalds,,NULL,70169,
0,Purchase,KFC G135183,5814,Food and Drink,Kentucky Fried Chicken,,NULL,70170,
0,Purchase,SDC*FLINT ENERG,4900,Utilities,Flint Energies,,NULL,70174,
0,Purchase,CANDIA FIRST ST,5541,Fuel,Candia First Stop,,NULL,70176,
0,Purchase,ADVANCED  ADVAN,7699,Other,Advance Maintenance Supply,,NULL,70177,
1,Purchase,Pendleton Comm,6011,Financial Services,Pendleton Community Bank,,NULL,70178,
0,Purchase,SMITH COUNTY SU,5533,Auto,Smith County Supply,,NULL,70179,
0,Purchase,LOWE'S #547,5200,Household,Lowes,,NULL,70181,
0,Purchase,HOBBYLOBB 1526,5945,Other,Hobby Lobby,,NULL,70193,
0,Purchase,PT HASTINGS SEA,5422,Grocery and Food Stores,Hastings Seafood,,NULL,70194,
0,Purchase,RPS*STEVENS REA,6513,Other,Stephens Realty,,NULL,70195,
0,Purchase,DC PRODUCTS,5399,Other,DC Products,,NULL,70196,
0,Purchase,GOTW3,5734,Technology Store,gotW3,,NULL,70197,
0,Purchase,BLE-GIFT,5734,Technology Store,Ble Gift,,NULL,70198,
20,Purchase,NCOURT *LAASCEN,9211,Legal and Government,nCourt,,NULL,70199,
1,Purchase,A050704,6011,Financial Services,Century Bank,,NULL,70200,
0,Purchase,WWW.TOUCHPAYDIR,9399,Legal and Government,TouchPayDirect,,NULL,70201,
0,Purchase,JUST A MINUTE M,5542,Fuel,Just a Minute Mart,,NULL,70202,
0,Purchase,INFAMISS-X,5691,Apparel,Infamiss X,,NULL,70203,
0,Purchase,WILLIAMSON CNTY,9399,Legal and Government,Williamson County Clerk,,NULL,70204,
1,Purchase,2408 MAYS DRIVE,6011,Financial Services,Union State Bank,,NULL,70206,
1,Purchase,2557,6011,Financial Services,Cadence Bank,,NULL,70207,
0,Purchase,R AND R F R AND,5499,Grocery and Food Stores,R and R Food Market,,NULL,70208,
0,Purchase,Sunshine 192,5541,Fuel,Sunshine Gas,,NULL,70209,
0,Purchase,SAN LEANDRO HON,5511,Auto,San Leandro Honda,,NULL,70210,
0,Purchase,WOODSHED OF SO.,5541,Fuel,Woodshed of South Coffeyville,,NULL,70211,
0,Purchase,WD BRYANT AND S,5039,Contractors and Heavy Equipment,WD Bryant and Son,,NULL,70212,
0,Purchase,gameduster.com,5816,Lottery and Gaming,GameDuster.com,,NULL,70214,
0,Purchase,NOCHEX *D UNLOC,7372,Services,Nochex,,NULL,70215,
0,Purchase,TS RESTAURANT -,5812,Food and Drink,Ts Restaurant,,NULL,70216,
0,Purchase,HONEY BEE AUTO,5599,Auto,Honey Bee Auto Sales,,NULL,70218,
0,Purchase,BELLA & CO SPA,7298,Personal Care,Bella and Co Spa,,NULL,70219,
0,Purchase,WWW.SOUFEEL.COM,5944,Other,Soufeel.com,,NULL,70221,
0,Purchase,WWW.CASEOLOGYCA,5734,Technology Store,Caseology Cases,,NULL,70222,
0,Purchase,PLANTATION,5812,Food and Drink,Plantation Buffets,,NULL,70223,
0,Purchase,MORROW FOOD MAR,5541,Fuel,Morrow Food Mart,,NULL,70224,
1,Purchase,BROTHERS IN -38,6011,Financial Services,Brothers in the Hood,,NULL,70227,
0,Purchase,SHAWS OSCO 4443,5411,Grocery and Food Stores,Shaws,,NULL,70228,
0,Purchase,GLOBALTEL.NET,7299,Other,GlobalTel.net,,NULL,70232,
0,Purchase,KINGS RIVER COU,5541,Fuel,Kings River Country Store,,NULL,70233,
0,Purchase,salemhub.com,5818,Subscriptions,Salemhub.com,,NULL,70234,
1,Purchase,CNB PAWLEYS ISL,6010,Financial Services,Conway National Bank,,NULL,70239,
0,Purchase,CROSSROADS QUIC,5499,Grocery and Food Stores,Crossroads Quick Stop,,NULL,70240,
1,Purchase,J DELAUGHTER LL,6011,Financial Services,J Delaughter LLC,,NULL,70242,
0,Purchase,ARTHURSHAWANEEU,4900,Utilities,Arthur Shawanee Utility District,,NULL,70243,
0,Purchase,OPC*PIERCE CO D,9222,Legal and Government,Pierce County,,NULL,70244,
0,Purchase,VIGOROUSADVANCE,5964,Retail,Vigourious Advanced,,NULL,70245,
0,Purchase,SOURCE RM GENER,8931,Financial Services,Source RM,,NULL,70247,
0,Purchase,CHARLIES ONE ST,5541,Fuel,Charlies One Stop,,NULL,70248,
0,Purchase,SPANISH TRAIL M,5541,Fuel,Marathon Gas Station,,NULL,70249,
0,Purchase,AC & T WILLIAMS,5542,Fuel,AC and T Williams Port,,NULL,70250,
0,Purchase,150 QUICK STOP,5542,Fuel,150 Quick Stop,,NULL,70254,
1,Purchase,AMERICAN 1 CRED,6011,Financial Services,American 1 Credit Union,,NULL,70259,
1,Purchase,KELLOGG COMM CU,6011,Financial Services,Kellogg Community Credit Union,,NULL,70261,
1,Purchase,DATASTREAM ASAI,6011,Financial Services,Datastream,,NULL,70262,
0,Purchase,SURINDER SINGH,5999,Retail,Surinder Singh,,NULL,70263,
0,Purchase,CARNICERIA EL T,5812,Food and Drink,Carniceria El Toro,,NULL,70264,
0,Purchase,MOUND HOUSE TRU,5251,Equipment and Materials,Mound House True Value Hardware & Storage,,NULL,70266,
0,Purchase,MASON DIRECT #7,5661,Apparel,Mason Direct,,NULL,70267,
0,Purchase,MCH FRONT DESK,8011,Healthcare,MCH Front Desk,,NULL,70268,
0,Purchase,CKE*JUNGLE GYM&,5812,Food and Drink,Jungle Gym's Indoor Play Center & Arcade,,NULL,70269,
0,Purchase,DOX*SEMCO ENERG,4900,Utilities,Semco Energy,,NULL,70272,
0,Purchase,PSFUELS JOILET,5541,Fuel,PS Fuels,,NULL,70273,
0,Purchase,SN FOODMART,5541,Fuel,SN Food Mart,,NULL,70274,
0,Purchase,TLF*1ST IN FLOW,5992,Other,1st in Flowers,,NULL,70275,
1,Purchase,THOMAS TERRACE,6011,Financial Services,Thomas Terrace Market,,NULL,70276,
0,Purchase,PANOLA LUCKY DO,5499,Grocery and Food Stores,Panola Lucky Dollar,,NULL,70277,
0,Purchase,134 FUEL CITY,5541,Fuel,Hi Tech,,NULL,70278,
0,Purchase,NAIFEH'S CASH S,5411,Grocery and Food Stores,Naifeh's Cash Saver,,NULL,70279,
0,Purchase,IDEA TOWN LTD,5399,Other,Idea Town,,NULL,70280,
0,Purchase,PDF9FILLER61720,5045,Technology Store,PDF9Filler,,NULL,70281,
0,Purchase,I-24 MARKET,5541,Fuel,I24 Market,,NULL,70282,
0,Purchase,USA*COUNTRY FRE,5814,Food and Drink,Country Fresh Car Wash,,NULL,70287,
0,Purchase,MONAQI.COM,5732,Technology Store,Monaqi.com,,NULL,70288,
0,Purchase,Coulee Ha Coule,5039,Contractors and Heavy Equipment,Grand Coulee,,NULL,70291,
0,Purchase,TEXAS SUP TEXAS,5310,Retail,SUP,,NULL,70292,
0,Purchase,XISCALI MEXICAN,5812,Food and Drink,Xiscali Mexican Restaurant,,NULL,70295,
0,Purchase,IN *PROTECTIVE,7531,Auto,Protective Coatings,,NULL,70296,
0,Purchase,CLOVER FA 1010,5411,Grocery and Food Stores,Clover Farm Grocery & Market,,NULL,70297,
0,Purchase,DK WIGS A DK WI,5999,Retail,DK Wigs,,NULL,70298,
0,Purchase,BIG CASEY LIQUO,5921,Food and Drink,Big Casey Liquor Store,,NULL,70300,
0,Purchase,TOBACCO HUT - 1,5993,Other,Tobacco Hut,,NULL,70302,
0,Purchase,KRYSTAL ATL010,5814,Food and Drink,Krystal Hamburgers,,NULL,70303,
0,Purchase,KRYSTAL CHN006,5814,Food and Drink,Krystal Hamburgers,,NULL,70306,
0,Purchase,JIMMY JAZZ #110,5651,Apparel,Jimmy Jazz,,NULL,70310,
0,Purchase,SUNRISE SUPERMA,5499,Grocery and Food Stores,Sunrise Supermarket,,NULL,70312,
0,Purchase,LEVI'S #803,5691,Apparel,Levis,,NULL,70315,
0,Purchase,SQ *BIG BAD BRE,5812,Food and Drink,Big Bad Breakfast,,NULL,70316,
0,Purchase,Prime Video*022,5818,Subscriptions,Amazon,Prime Video,NULL,70319,
0,Purchase,PENDER COUNTY A,5921,Food and Drink,Pender County ABC Liquor Store,,NULL,70320,
0,Purchase,SMOKEHOUSE MEAT,5499,Grocery and Food Stores,Smokehouse Meat Market,,NULL,70322,
0,Purchase,TOMMY`S BURGERS,5814,Food and Drink,Tommy's Burgers,,NULL,70323,
0,Purchase,NATIONAL CELLUL,5968,Subscriptions,National Cellular Directory,,NULL,70327,
0,Purchase,SMARTSTYLE 1823,7230,Personal Care,Smart Style,,NULL,70328,
0,Purchase,BEAUTY NAILS,7230,Personal Care,Beauty Nails,,NULL,70330,
0,Purchase,JACK'S #233   Q,5814,Food and Drink,Jacks,,NULL,70331,
0,Purchase,HOGBODYS BAR AN,5812,Food and Drink,Hogbodys Bar and Grill,,NULL,70332,
0,Purchase,CHINA TOKYO,5812,Food and Drink,China Tokyo,,NULL,70333,
0,Purchase,LINDY'S CHICKEN,5814,Food and Drink,Lindys Chicken,,NULL,70342,
0,Purchase,TATES BBQ,5814,Food and Drink,Tates BBQ,,NULL,70343,
0,Purchase,TIDEWATER NEURO,8011,Healthcare,Tidewater Neurology,,NULL,70346,
0,Purchase,KFC F172017,5814,Food and Drink,Kentucky Fried Chicken,,NULL,70349,
0,Purchase,REX WELLNESS MD,5499,Grocery and Food Stores,Rex Wellness Centers,,NULL,70352,
0,Purchase,HOTELSCOM919579,4722,Travel,Hotels.com,,NULL,70353,
0,Purchase,KFC K980086,5814,Food and Drink,Kentucky Fried Chicken,,NULL,70354,
0,Purchase,TRICITY WHOLESA,5999,Retail,Tricity Wholesale,,NULL,70357,
0,Purchase,ABC APPLI 20620,5722,Household,ABC Appliances,,NULL,70360,
0,Purchase,Mundo Check Cas,6051,Financial Services,Mundo Check Cashing,,NULL,70362,
0,Purchase,SMASH BRANDS IN,5621,Apparel,Smash Brands,,NULL,70365,
0,Purchase,MILES CITY #830,5541,Fuel,Miles City,,NULL,70366,
0,Purchase,KENNEDY MART,5541,Fuel,Kennedy Mart,,NULL,70369,
0,Purchase,MONTANA LILS CA,5921,Food and Drink,Montana Lils Casino,,NULL,70373,
0,Purchase,TOWN PUMP GLEND,5541,Fuel,Town Pump,,NULL,70374,
0,Purchase,HOBBYLOBB 7816,5945,Other,Hobby Lobby,,NULL,70380,
1,Purchase,TRI STAR MUL-K1,6011,Financial Services,Tri Star,,NULL,70389,
1,Purchase,JACKS GROCER-K2,6011,Financial Services,Jacks Grocery,,NULL,70390,
1,Purchase,TOWN PUMP-GL-K7,6011,Financial Services,Town Pump,,NULL,70391,
0,Purchase,ARCO #42322,5541,Fuel,Arco,,NULL,70393,
0,Purchase,E & A GRO 2190,5411,Grocery and Food Stores,E and A Grocery,,NULL,70401,
0,Purchase,RIVERSTONE WINE,5921,Food and Drink,Riverstone Wine Spirits,,NULL,70405,
0,Purchase,JACK'S #245,5814,Food and Drink,Jacks,,NULL,70408,
0,Purchase,KUM & GO #441,5541,Fuel,Kum and Go,,NULL,70412,
0,Purchase,EXPRESS ELECTRO,4814,Telecommunication Services,Express Electronics,,NULL,70413,
0,Purchase,SHOP CITY PIZZA,5812,Food and Drink,Shop City Pizza,,NULL,70415,
0,Purchase,SMITTY`S GARAGE,5812,Food and Drink,Smittys Garage,,NULL,70418,
0,Purchase,THE GARAGE - MO,5812,Food and Drink,The Garage,,NULL,70420,
0,Purchase,FLWRSBAKRY0930,5499,Grocery and Food Stores,Flwrs Bakery,,NULL,70421,
0,Purchase,QUICKQUACK* #07,7538,Auto,Quick Quack,,NULL,70423,
0,Purchase,LOCAL.ACMEMARKE,5734,Technology Store,Acme Markets,,NULL,70425,
0,Purchase,CASA MIA PIZZER,5814,Food and Drink,Casa Mia Pizzeria,,NULL,70426,
0,Purchase,ADORE ME INC,5691,Apparel,Adore Me,,NULL,70428,
0,Purchase,HLU*HULU 100228,4899,Telecommunication Services,Hulu,,NULL,70429,
0,Purchase,BRUSTERS,5499,Grocery and Food Stores,Brusters Ice Cream,,NULL,70432,
0,Purchase,ASIAN CUISINE,5812,Food and Drink,Asian Cuisine,,NULL,70434,
0,Purchase,KFC E320057,5814,Food and Drink,Kentucky Fried Chicken,,NULL,70443,
0,Purchase,KFC MAGEE C0290,5814,Food and Drink,Kentucky Fried Chicken,,NULL,70447,
0,Purchase,ROANOKE ACE HOM,5251,Equipment and Materials,Ace Home Center,,NULL,70449,
0,Purchase,PAPAS PIZZA TO,5812,Food and Drink,Papas Pizza,,NULL,70450,
0,Purchase,QUICKSTOP 3,5541,Fuel,Quickstop,,NULL,70452,
0,Purchase,NCAA ELIGIBILIT,7399,Services,NCAA Eligibility Center,,NULL,70454,
0,Purchase,KFC F070029,5814,Food and Drink,Kentucky Fried Chicken,,NULL,70455,
0,Purchase,ANGELSENSE,5734,Technology Store,Angelsense,,NULL,70457,
0,Purchase,KRYSTAL CHNF07,5814,Food and Drink,Krystal Hamburgers,,NULL,70461,
0,Purchase,IHOP 3141,5812,Food and Drink,IHOP,,NULL,70464,
0,Purchase,BURGER 21 - CAR,5812,Food and Drink,Burger 21,,NULL,70465,
0,Purchase,WASH WERKS,7542,Auto,Wash Werks,,NULL,70466,
0,Purchase,MICOFEE.COM,7273,Other,Micofee.com,,NULL,70471,
0,Purchase,REDI MART - 16,5499,Grocery and Food Stores,Redi Mart,,NULL,70472,
1,Purchase,DODGES MEMPH-66,6011,Financial Services,Dodges Memphis,,NULL,70473,
1,Purchase,METRO FCU,6011,Financial Services,Metro Federal Credit Union,,NULL,70474,
0,Purchase,GO USA FUNPARKS,7994,Lottery and Gaming,GO USA Fun Park,,NULL,70481,
1,Purchase,MAVERIK-CALD-32,6011,Financial Services,Maverik,,NULL,70483,
0,Purchase,LA CASA FIERRO,5812,Food and Drink,La Casa Fierro,,NULL,70486,
0,Purchase,POLLOS ASADOS E,5812,Food and Drink,Pollos Asados,,NULL,70487,
0,Purchase,EL CENTRO MOTEL,7011,Travel,El Centro Motel,,NULL,70488,
0,Purchase,MAX MART SOUTH,5411,Grocery and Food Stores,Max Mart,,NULL,70491,
0,Purchase,ROUND UP EXPRES,5411,Grocery and Food Stores,Round Up Express,,NULL,70492,
0,Purchase,HUDSONNEWS ST96,5994,Other,Hudson News,,NULL,70496,
0,Purchase,HUDSON ST1375,5994,Other,Hudson News,,NULL,70497,
0,Purchase,MATTOON RURAL K,5999,Retail,Mattoon Rural,,NULL,70507,
0,Purchase,LOAF N JU 2119,5541,Fuel,Loaf N Jug,,NULL,70509,
1,Purchase,STOP-N-GO EL-29,6011,Financial Services,Stop N Go,,NULL,70510,
1,Purchase,Tobacco and Vap,6011,Financial Services,Tobacco and Vape,,NULL,70513,
0,Purchase,LOWE'S #594,5200,Household,Lowes,,NULL,70521,
0,Purchase,KING SOOP 520 S,5542,Fuel,King Soop,,NULL,70522,
0,Purchase,HOBBYLOBB 10258,5945,Other,Hobby Lobby,,NULL,70525,
0,Purchase,THE BROAD AXE,5812,Food and Drink,The Broad Axe,,NULL,70536,
0,Purchase,THE SODA FOUNTA,5812,Food and Drink,The Soda Fountain,,NULL,70537,
0,Purchase,OASIS BAR,5812,Food and Drink,Oasis Bar,,NULL,70540,
0,Purchase,REDDIBUY,7299,Other,ReddiBuy,,NULL,70548,
0,Purchase,AMERICANA INN A,7011,Travel,Americana Inn and Suites,,NULL,70550,
0,Purchase,MURPHY7072ATWAL,5541,Fuel,Murphy USA,,NULL,70658,
0,Purchase,MAPCO 3212,5541,Fuel,Mapco,,NULL,70701,
9,Purchase,KROGER #697,5411,Grocery and Food Stores,Kroger,,NULL,70717,
0,Purchase,KOHLS 078 2430,5311,Retail,Kohls,,NULL,70718,
0,Purchase,LOWE'S #1037,5200,Household,Lowes,,NULL,70720,
0,Purchase,B AND C QUICK S,5399,Other,B and C Quick Stop,,NULL,70736,
0,Purchase,GOLDEN CHICK-MA,5812,Food and Drink,Golden Chick,,NULL,70738,
1,Purchase,TEXACO ON WY-22,6011,Financial Services,Texaco,,NULL,70743,
0,Purchase,Big Chicken,5541,Fuel,Big Chicken,,NULL,70750,
0,Purchase,MCDONALD'S F231,5814,Food and Drink,McDonalds,,NULL,70754,
0,Purchase,MCDONALD'S M298,5814,Food and Drink,McDonalds,,NULL,70761,
0,Purchase,AT&T 2GSR 78960,4812,Telecommunication Services,AT&T,,NULL,70798,
0,Purchase,SUPERIOR AUTO,5521,Auto,Superior Auto,,NULL,70806,
